Job Type,Job Title,Location,Job Link,Scraped Date (DD-MM-YYYY),Employment Type,Experience Level
OTHER,Full Stack Engineer ( React+ Ruby ),Remote,https://jobs.jobsforhumanity.com/CME/f4bb2acb-536c-417a-becf-5094d40b8ca8.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Not Applicable
OTHER,Data Analytics Engineer,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/CME/f988bdee-864b-4839-9b81-9cbfd58c5c02.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Not Applicable
OTHER,Software Developer In Test,Remote,https://jobs.jobsforhumanity.com/CME/5013b93c-9a5a-4b33-a31c-6508040d8f42.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Not Applicable
OTHER,QA Lead,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/CME/0c30d834-feaa-4b87-979a-125124b3d94b.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Not Applicable
OTHER,Executive Assistant,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/CME/d56aecb6-b12f-4717-bb43-3b4975d8d6d2.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Not Applicable
OTHER,Junior Accountant – Accounts Payables,"Dbayeh, Lebanon",https://jobs.jobsforhumanity.com/noknok S.A.L./f8b9a883-8571-451f-8c7f-23759cac739c.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Entry Level
OTHER,HR Assistant,"Dbayeh, Lebanon",https://jobs.jobsforhumanity.com/noknok S.A.L./d3f6bd21-53bf-4a43-b8f2-66d987e1fd16.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Entry Level
ADMINISTRATIVE,Promotions And Brand Activations Specialist,"Adma w Dafnah, Lebanon",https://jobs.jobsforhumanity.com/KristiesLab/87361bfb-dab3-4a3b-bc88-b1203ddb4485.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Entry Level
PURCHASING,Logistics And Procurement Coordinator,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Business Lobby Talent Management/2d1491f9-016c-4c9f-bb56-3f5d608669ac.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Not Applicable
OTHER,Door-to-Door Sales Representative,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/ProArt REALTY/19bc8fbe-2d70-468a-b5eb-36b1c5e914ef.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
INFORMATION TECHNOLOGY,Security Engineer,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Other/2089090b-805b-47e9-95a9-6df5f3673530.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
INFORMATION TECHNOLOGY,Technical Support Specialist,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Equadis/89b4df7a-ce89-4225-b59b-9d8a5fce75df.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Entry Level
INFORMATION TECHNOLOGY,Indoor Sales Representative,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Other/bddc72fa-641c-4995-befc-2c16eb61c6e0.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Entry Level
CONSULTING,Sales Consultant,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/SmartSource Consulting SAL/48cec7f9-87d0-4924-95e1-d50c2a98ddb7.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Not Applicable
CONSULTING,Customer Service Representative,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/SmartSource Consulting SAL/a36e1c08-4b33-4ce7-80bd-777c79276cac.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Not Applicable
BUSINESS DEVELOPMENT,Members Club Community And Sales Managament,"Beit Meri, Lebanon",https://jobs.jobsforhumanity.com/Tastelab/7b5d9404-e45b-409b-ac40-23161a146269.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
OTHER,Sales Specialist- Digital & Signs,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Business Lobby Talent Management/755c9afb-29a2-4a73-9502-278b2dafe0f9.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Not Applicable
OTHER,Customer Support Specialist,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/IDS/f0d54c6c-df31-43ba-9c86-880f81c14c14.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
ADVERTISING,Advertising & Marketing Specialist,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Jobs for Humanity/912aba55-cf04-4907-adc8-96d64f8c87fa.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Entry Level
ADMINISTRATIVE,Personal Assistant,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Business Lobby Talent Management/7c015ad1-1e81-4e8e-9f7f-f3fd98961a81.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Not Applicable
OTHER,Freelance Accountant,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/KV Associates S.A./6f8fdff9-bd65-4663-87df-02f2b2ba5fe5.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
SALES,Female Indoor Sales Associate,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/RECRUITMENT/2018fc4b-b647-4e6c-9c6f-a913bf3a23a6.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Associate
ADMINISTRATIVE,Receptionist,"Wata Aamaret Chalhoub, Lebanon",https://jobs.jobsforhumanity.com/Malia Group/6e1bc315-0531-46e4-bcb4-e6fc31f0612c.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Entry Level
BUSINESS DEVELOPMENT,Event Coordinator,"Beit Meri, Lebanon",https://jobs.jobsforhumanity.com/Tastelab/0fe2e058-af8a-4733-9ced-afc4f0238430.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
BUSINESS DEVELOPMENT,Event Sales And Marketing,"Beit Meri, Lebanon",https://jobs.jobsforhumanity.com/Tastelab/9367460c-081a-4174-a6fe-b3ce30f6aa77.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
BUSINESS DEVELOPMENT,Graphic Designer And Digital Marketing Specialist,"Jal El Dib, Lebanon",https://jobs.jobsforhumanity.com/Proventures/2227fd96-36d0-4d75-ade1-6e5e51821100.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
OTHER,STEM Engineer (Project Design & Classroom Support),"Chtoura, Lebanon",https://jobs.jobsforhumanity.com/Cedarlb/ec3eb9f6-85ce-4e4e-a8e9-b24fc3a753db.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Not Applicable
OTHER,Teacher (Structured Learning & STEM),"Chtoura, Lebanon",https://jobs.jobsforhumanity.com/Cedarlb/bd5bcc9c-9fb3-4da6-9052-369b26eb1752.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
DISTRIBUTION,Driver,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/MJM medics sarl/6b9cfab1-50f3-4b9a-ab8b-883ec5afd451.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Not Applicable
MANAGEMENT,Corporate Executive Chef,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Amazon DSP Driver/6c81db5c-886f-4370-b6dc-d6822696a54b.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
OTHER,Event Coordinator,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Tastelab/18a8f822-9676-405e-84c7-c9f73811787c.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
MANAGEMENT,F&B Operations Manager,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/RECRUITMENT/213a2356-8906-45d9-aff7-618bc49d6755.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
SALES,Telesales Consultant,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/The Kode/9fae246c-5e2c-4f1d-9e57-0da35783401f.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Entry Level
ART/CREATIVE,Project Manager,"Adma w Dafnah, Lebanon",https://jobs.jobsforhumanity.com/KristiesLab/bf5fdfb7-488a-47e4-9ae8-474787cc5030.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
OTHER,Operating Room Nurse,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/MJM medics sarl/6345b2fd-c289-4489-8bc5-78927349a16c.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
OTHER,Operating Room Nurse,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/MJM medics/372733d2-1bf5-4aa7-9cac-1a7794b6b8ae.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
EDUCATION,Teacher (Structured Learning & STEM – Open...,"Chtoura, Lebanon",https://jobs.jobsforhumanity.com/Cedar Lab STEM/39dc763f-b7d8-4dec-ace1-4d29df98d1eb.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Not Applicable
EDUCATION,STEM Engineer (Project Design & Classroom Support),Remote,https://jobs.jobsforhumanity.com/Cedar Lab STEM/72a9c338-987e-4393-9221-8113b3ae2d9d.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Part-time,Not Applicable
DESIGN,Senior Architect,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Expertise Recruitment/24a6005e-8736-4f17-be48-013fb2c1bfda.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
PRODUCTION,Interior Designer,"Zouk Mosbeh, Lebanon",https://jobs.jobsforhumanity.com/Outbox SARL/7eed6124-a455-48f1-87ab-53a577ac9b01.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Not Applicable
OTHER,Sports And Activity Assistant,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/RECRUITMENT/c19c1a1d-bc73-403c-ad79-44bc40354622.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Not Applicable
HUMAN RESOURCES,HR Team Leader,Remote,https://jobs.jobsforhumanity.com/We Leaders Program/782b6694-b0e4-476d-91dd-1be6906b0573.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Part-time,Entry Level
MARKETING,Social Media Officer,Remote,https://jobs.jobsforhumanity.com/We Leaders Program/27c8c620-6186-441b-839e-636cedea69ff.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Part-time,Entry Level
MARKETING,Call Agent,Remote,https://jobs.jobsforhumanity.com/We Leaders Program/b387bb79-f191-4650-889f-f283a01623ed.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Part-time,Entry Level
MARKETING,Marketing Officer,Remote,https://jobs.jobsforhumanity.com/We Leaders Program/562f6a17-6e1d-4ebe-adb3-bf70bcba3bc8.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Part-time,Entry Level
DESIGN,Senior Interior Designer,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Expertise Recruitment/1dd1baa5-33f0-4105-8b37-431851815bcc.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
PRODUCTION,Post-Production Podcast Coordinator | Video Editor,Remote,https://jobs.jobsforhumanity.com/THE BALANCE/0ea7499e-369f-427d-9473-996b34fb2abe.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Not Applicable
OTHER,Lebanese Cuisine Chef,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/AVR GOODS Wholesalers Co. L.L.C/8c28083f-adff-422e-890e-71b9fa951434.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
OTHER,Part Time Food Delivery Driver – مطلوب...,"Harissa, Lebanon",https://jobs.jobsforhumanity.com/Mahabati Catering/97029d4d-3797-43d4-9500-82e736d5c196.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Part-time,Not Applicable
OTHER,Male Warehouse Manager,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/RECRUITMENT/811d92f2-31ae-4635-886c-418e33a3d11d.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
SALES,Junior Outdoor Sales,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Core Facilities Management/2969fec0-bd1e-4c5a-b854-d9b50e819c8a.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Associate
OTHER,Graphic Designer,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/HORIVERDE/3ccc60fa-3317-4a08-a71f-b713a7eb9eb6.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
OTHER,Meta Ads Strategist,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/BeRight S.A.L/24b9954c-2260-465f-b6ac-dab4ba4591b8.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
OTHER,Web Developer,"Dekwaneh, Lebanon",https://jobs.jobsforhumanity.com/Jobs for lebanon/c72db170-7af7-4e38-bd71-6c747a7b1abf.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Entry Level
MANAGEMENT,Property Manager,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Assiyana/9a92e0dc-d5ad-4497-b6af-9b9bf17a4089.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
OTHER,Telesales Representative,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Smart Start/a4a81d07-719a-49e7-bbd0-076d0a1cf92f.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
OTHER,Live Host & Anchor,"Dekwaneh, Lebanon",https://jobs.jobsforhumanity.com/Jobs for lebanon/995510fd-760d-4094-b2ed-86b3416162e9.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Entry Level
SALES,Telesales Agent,"Jisr El Bacha, Lebanon",https://jobs.jobsforhumanity.com/Other/70f01c30-6b18-4631-8516-fed1d415054a.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Entry Level
OTHER,Life Insurance Advisor,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Bankers-Assurance/95d682bd-fa52-4b2d-a9ed-b80579264f51.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
DESIGN,Senior Urban Planner,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/4b architects/2779c60f-6196-4715-83dd-8baafd3f0d2c.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
DESIGN,Interior Designer,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/RECRUITMENT/b37aca58-68f7-459f-b3d0-55225a3137e8.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
ADMINISTRATIVE,Administrative Assistant,"Baouchriyeh, Lebanon",https://jobs.jobsforhumanity.com/AAA Law Practice/911b6c33-f80f-480b-a0c9-f6e54ceca0f5.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Entry Level
OTHER,Horeca Sales Representative,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Warmco/bcc2d72c-b29d-4b2a-ba02-1b5010f47c82.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
OTHER,Accounting Assistant – Invoice Control,"Dbayeh, Lebanon",https://jobs.jobsforhumanity.com/noknok S.A.L./1d560297-72a5-4e09-8fcc-0b9613cbb4be.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Entry Level
OTHER,Video Editor & Production Assistant,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/RECRUITMENT/e42f421d-a418-4224-868f-f14465a59be3.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
SALES,Sales Specialist,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/LVL - Lebanese Veterinary Laboratories/33d5ab9b-38bf-49c7-bc7e-b1e05a712ce7.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Associate
CONSULTING,Office And Accounting Manager,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/CCHO/bf18e367-939a-49f2-a994-5a648e145ea9.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
MARKETING,Social Media And Community Manager (Crypto),Remote,https://jobs.jobsforhumanity.com/Cryptoware/3149b1fa-72bd-4b24-a2d3-2167e18d875c.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Contract,Entry Level
OTHER,Project Coordinator,"Zouk Mosbeh, Lebanon",https://jobs.jobsforhumanity.com/Facilitate International/b0083415-c9bf-45ad-a835-7d2d5208cc8a.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Not Applicable
ENGINEERING,Full Stack Developer,Remote,https://jobs.jobsforhumanity.com/private/adbdcbf4-5642-4d17-8935-f6f8b9f669a6.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Part-time,Mid-Senior Level
OTHER,Civil Works Team Leader (Telecom Sector),"Jal El Dib, Lebanon",https://jobs.jobsforhumanity.com/Digital& SAL/e315ae0f-0034-4a8c-90f4-3c4ef6989ea6.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
SALES,Sales Representative,"Sidon, Lebanon",https://jobs.jobsforhumanity.com/Transouth/d72a7240-8e73-4723-8a05-f9782aa60e52.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Not Applicable
SALES,Sales Representative,"Sidon, Lebanon",https://jobs.jobsforhumanity.com/Transouth/b33ca13f-9110-492c-8364-292cf762ef7a.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Not Applicable
SUPPLY CHAIN,Operational Buyer & Accounting Analyst,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Sucafina/5d75427f-0172-43d0-be18-583eee56bb18.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Associate
FINANCE,Financial Controller,Remote,https://jobs.jobsforhumanity.com/Pixaera/89de66d6-1511-4ed1-a962-a8bc644ec850.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
OTHER,Chef De Partie,"Kfour, Lebanon",https://jobs.jobsforhumanity.com/Amandany wll / Indira Guesthouse/fc5a787e-d8db-44c5-a929-c255e5ef2dc9.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
INFORMATION TECHNOLOGY,Business Analyst & Quality Assurance,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Equadis/b10b0015-f0c5-43a4-aaad-97951b31d103.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Entry Level
OTHER,Recruitment Specialist,"Dammam, Saudi Arabia",https://jobs.jobsforhumanity.com/Saudiaat/a16be3ba-18eb-4713-884a-36bdfb920add.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
OTHER,Baker,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/RECRUITMENT/fe2a5200-5031-4c57-81ee-61d674c4ceb3.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
ADMINISTRATIVE,Coordinator,"Baabdat, Lebanon",https://jobs.jobsforhumanity.com/Twinpadel/8c4ff750-6738-477b-aa25-356a5352b6f5.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Contract,Director
ART/CREATIVE,Account Manager,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/KristiesLab/9e15b135-6ebf-4334-94e0-0b4f5f10011c.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
OTHER,Maintenance Technician,"Jdeideh, Lebanon",https://jobs.jobsforhumanity.com/Elevator Engineering and Equipment SAL/69828024-99b4-40f6-850b-390cadd8aea2.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Entry Level
SALES,Sales Support Engineer,"Jdeideh, Lebanon",https://jobs.jobsforhumanity.com/Elevator Engineering and Equipment SAL/14539161-d8a7-46f0-89b1-7318f5c38879.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Entry Level
SALES,Sales Executive,"Jdeideh, Lebanon",https://jobs.jobsforhumanity.com/Elevator Engineering and Equipment SAL/b1ec8fc8-dfc6-43df-b73b-7d47a356d9de.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Entry Level
ACCOUNTING/AUDITING,Comptable Junior,"Jdeideh, Lebanon",https://jobs.jobsforhumanity.com/CV Consulting/c3e03451-b4a0-464c-a82a-9f8e7b7cbde8.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Not Applicable
ACCOUNTING/AUDITING,Accountant And Office Administrator,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Core Facilities Management/71085353-6361-4224-b243-6cc640a8d91e.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Entry Level
OTHER,Assistant Floor Manager,"Hazmieh, Lebanon",https://jobs.jobsforhumanity.com/Amaretti/bbd534a3-4359-44bb-86d1-3576997189e1.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
CONSULTING,Generator Systems Specialist,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Pratik İnsan Kaynakları/ba7fd363-139b-430a-9a81-05a100460f1a.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Contract,Associate
MARKETING,SEO Specialist,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/RECRUITMENT/d674bbd8-58ed-4bed-96b3-2317983a1c61.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
ACCOUNTING/AUDITING,Accountant,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/NACH s.a.L./65da6fea-5e6e-4559-9bbf-9a69458bc3a9.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
OTHER,Administrative Executive,"Zouk Mosbeh, Lebanon",https://jobs.jobsforhumanity.com/Other/9a8f4997-12a4-45ee-9bc0-fc0c43589ee3.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
PROJECT MANAGEMENT,Account Manager,"Dbayeh, Lebanon",https://jobs.jobsforhumanity.com/PrimeTalent/a40d01f2-c7f0-44a7-9df2-19c35b1e7ac8.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
EDUCATION,Swim Instructor,"Antelias, Lebanon",https://jobs.jobsforhumanity.com/PrimeTalent/8c4bf6bd-554d-4d8a-9b93-9fc1945bc966.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Entry Level
ACCOUNTING/AUDITING,Accountant,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Premium Partners/da73a424-76f2-481b-80e5-612801245689.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
SALES,Pharmacist / Skin Expert,"Antelias, Lebanon",https://jobs.jobsforhumanity.com/Helwé Natural Skincare/a819be89-16e2-4b2d-b1dd-2529b883d7b3.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
ENGINEERING,Contract Manager,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/RECRUITMENT/083d77e0-a1a2-4a27-9033-d0bd0f5e1735.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
ANALYST,Part-Time Project Management Assistant,"Prague, Czechia",https://jobs.jobsforhumanity.com/Pratik İnsan Kaynakları/6340de8d-bff9-4572-9ade-cbcf5cb793fd.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Part-time,Not Applicable
ENGINEERING,Experienced Freelance Recruiter (Remote),Remote,https://jobs.jobsforhumanity.com/Awesomedia/a835081a-0c36-4cf6-a822-829ce43715f4.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
OTHER,Skincare Therapist,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Helwé Natural Skincare/8b7b68a9-1a80-4c63-95cd-5080e3211aed.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
ADMINISTRATIVE,Receptionist At The Stay Furnished Apartments,"Dbayeh, Lebanon",https://jobs.jobsforhumanity.com/The Stay Furnished Apartments/991ba023-47c8-4a01-b117-766b7ed0caf9.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Not Applicable
ADMINISTRATIVE,Part Time Female Admin Assistant,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/PrimeTalent/655eb5b9-b27d-4c1f-84a7-db0fdea2f390.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Part-time,Entry Level
SALES,Senior Business Developer,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/PrimeTalent/ee54cefc-4073-4db8-9ccb-dd88a33e28fb.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
MARKETING,Senior Social Media Manager,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/PrimeTalent/099f461f-0a92-449a-8457-c62c744a80de.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
