Job Type,Job Title,Location,Job Link,Scraped Date (DD-MM-YYYY),Employment Type,Experience Level
ACCOUNTING/AUDITING,Senior Accountant,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/NUMED/dcbb2583-099d-4ddb-bef8-ded27424730b.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
ENGINEERING,Board Panel Support,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Debbas Group/543e38b9-afaa-4f27-b27a-ee2980dcedc4.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Entry Level
ENGINEERING,Electronic Specialist – Lighting Industry,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Debbas Group/8d3aab5f-9b06-4640-9fd1-2b72b0d3d703.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Entry Level
MARKETING,Medical Sales Promoter,"Lebanon, Tennessee, US",https://jobs.jobsforhumanity.com/Medicare/d431d2d3-e512-42e5-a3b8-fe5487407f85.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Entry Level
MARKETING,Medical Sales Representative,"Doha, Qatar",https://jobs.jobsforhumanity.com/Medicare/d431d2d3-e512-42e5-a3b8-fe5487407f85.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Entry Level
MARKETING,Marketing And Social Media Officer,Remote,https://jobs.jobsforhumanity.com/Karim Harik Awards/615e97f1-8854-4b67-807e-12d4f122dfa9.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Intern,Internship
OTHER,Operations Manager,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/confidential/ae038549-0142-4615-918a-d7ce8fc2cdbd.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
OTHER,Sourcing And Project Delivery Engineer,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Business Lobby Talent Management/c2cc6c5c-b3e7-4507-98ee-f1e4c350ee92.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Not Applicable
ENGINEERING,Civil Engineer,"Sidon, Lebanon",https://jobs.jobsforhumanity.com/Khalifeh Company for Engineering & Contracting/025e2463-7733-41aa-bd05-cbdce65cc17f.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Entry Level
MANAGEMENT,Operations Supervisor,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Expertise Recruitment/184f9186-55f1-4520-a2b4-5ea11e1e7769.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
HUMAN RESOURCES,Senior HR Officer,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Expertise Recruitment/ea59d704-9ec3-4d89-9f51-4dad28d783c7.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
OTHER,Chef De Partie,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Jobs for lebanon/b37aaeb9-8a38-487e-8afe-d9c012888741.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Entry Level
OTHER,QA Analyst – ERP,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Business Lobby Talent Management/fd011335-2ade-445f-9522-1834bfda1b23.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Not Applicable
OTHER,Business Analyst – ERP,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Business Lobby Talent Management/417df4ef-2ca6-4d79-b51a-49e7e2e5b662.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
OTHER,Technical Support Officer,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/RECRUITMENT/9da8c7ea-e1b0-491e-a5fe-4bacd3dda999.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Entry Level
OTHER,Barista,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Neo beirut/f19cffd9-398a-4323-9ed8-a701a9a3ea2b.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Not Applicable
ART/CREATIVE,Design & Elevation Specialist,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/de Gournay Beirut/6b260994-bf1a-44f7-84e1-24b3a4115569.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
OTHER,Restaurant Cashier,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Neo beirut/1ed56efc-d54e-47d5-954f-b2feda01c5b3.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
OTHER,Fundraising Specialist,Remote,https://jobs.jobsforhumanity.com/(Confidential)/2333dd99-6ccb-4f91-980b-71610859cb24.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Associate
ENGINEERING,SharePoint Developer,"Zouk Mosbeh, Lebanon",https://jobs.jobsforhumanity.com/CCL/9622b03d-3c80-46bc-af0c-77192c0a3ef1.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Entry Level
ENGINEERING,Accountant,"Zouk Mosbeh, Lebanon",https://jobs.jobsforhumanity.com/CCL/91fda0f8-ca5c-422e-9cb5-6ffdd96f2c68.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Entry Level
INFORMATION TECHNOLOGY,Junior Full-Stack Developer & Data Entry Specialist,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/(Confidential)/d8ff7dae-e265-4219-bef1-5e87b608b53b.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Entry Level
INFORMATION TECHNOLOGY,Développeur Expérimenté,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Pro-P Group/4123939a-4a20-490e-9ffa-f09a5ee6cc95.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
CONSULTING,CONSULTANT FONCTIONNEL – EXPERT EN GESTION DE...,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Pro-P Group/7ce618b3-0858-4d25-9ace-67d08a79f4ca.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
OTHER,Waiter/Waitress,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Neo beirut/fc6c1430-2489-4a79-8bce-0e38db07a6ec.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
SUPPLY CHAIN,Consolidation & Reporting Supervisor,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Sucafina/35107f72-7737-462a-b5a3-70e1a109557c.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
OTHER,Supervisor For Digital Printing Section,"Roumieh, Lebanon",https://jobs.jobsforhumanity.com/PRINTCUT sal/a74b6811-3eb5-471b-b6ea-cc1a2ab93ac8.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
SUPPLY CHAIN,Logistics – Execution Support,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Sucafina/dee563e0-fa31-43c8-98f5-5886a70ca93a.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
SUPPLY CHAIN,Client Support Specialist – Europe,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Sucafina/cdf289e4-4b06-4bd3-9823-bcf8c0a02589.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
INFORMATION TECHNOLOGY,IT Support Specialist,Remote,https://jobs.jobsforhumanity.com/swazzy/d47234e6-df4f-4216-8a0b-51390653f3a5.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
ENGINEERING,Structural Engineer,"Zouk Mosbeh, Lebanon",https://jobs.jobsforhumanity.com/CCL/6cf7a560-cad6-4a7b-af8b-b54313320a00.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Not Applicable
OTHER,Executive Supervisor (F&B And General Cleaning),"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Other/989b34c8-9c8b-4996-8fd1-23baf40eb46d.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
OTHER,Waitress,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Beit sara/dcec04b0-3657-421e-beff-17f184ddeac3.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
INFORMATION TECHNOLOGY,Quality Assurance Analyst,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Equadis/c0950f4f-1e3b-42c6-b1b7-807917a85b8e.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Entry Level
OTHER,Senior Landscape Architect,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Ohana Development/c65c30ed-45b7-41ab-8a5e-5160c7248c2c.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
ENGINEERING,Document Controller L Lighting Technical Submittals,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Vialighting for Trading LLC/a5046440-885f-4d2b-a2ba-d54fb9dbfbe0.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Not Applicable
ENGINEERING,Lighting Draftsman,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Vialighting for Trading LLC/8bbf1f50-2199-4584-9cc0-91fa28b488d0.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Not Applicable
ENGINEERING,MEP Design & Shop Drawings Engineer,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/BIM-ME S.A.R.L/b8d1a302-9894-4a2a-9c69-a71aba16cf47.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
EDUCATION,ESL/ENGLISH TEACHERS NEEDED URGENTLY,"Riyadh, Saudi Arabia",https://jobs.jobsforhumanity.com/Rubaj RECRUITMENT/d426aa8e-6eef-4b2a-8a4d-e56f69c4b655.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Not Applicable
EDUCATION,Part-Time Afterschool & Weekends Language Arts Teacher...,"Zahle/Chtoura, Lebanon",https://jobs.jobsforhumanity.com/Cedar Lab STEM/dba2628a-8b6a-4f93-9054-a2bc8c2093f6.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Part-time,Mid-Senior Level
EDUCATION,Part-Time Math Instructor (Afterschool & Weekends),"Zahle/Chtoura, Lebanon",https://jobs.jobsforhumanity.com/Cedar Lab STEM/d49daf29-1c57-4126-8eb7-a33c696f2843.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Part-time,Mid-Senior Level
ENGINEERING,Senior Commercial Manager,"Other, Saudi Arabia",https://jobs.jobsforhumanity.com/Engineering Consultants/e33d1e1c-407e-4589-b049-a38ea19f04e7.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Director
ENGINEERING,Project Manager,"Other, Saudi Arabia",https://jobs.jobsforhumanity.com/Engineering Consultants/6c6845b7-7bb7-484f-9ad1-14cc858ac5bf.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Director
PUBLIC RELATIONS,Public Relations Specialist,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Other/ab3552f5-ef4b-4b7d-9ea5-439e551ce9c8.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Executive
